current_limit,recommended_limit,action,pd,ep
20000.0,16000.0,decrease,0.9361702,-2119.680443396568
120000.0,96000.0,decrease,0.33639145,-487.6811196899414
90000.0,72000.0,decrease,0.068686865,-620.2211521801353
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
50000.0,40000.0,decrease,0.1,-344.68000770419826
50000.0,40000.0,decrease,0.18817204,-3716.1290168762207
500000.0,400000.0,decrease,0.045454547,-2676.1093899875877
100000.0,80000.0,decrease,0.1407767,-765.5984094905853
140000.0,112000.0,decrease,0.18817204,-1048.4128988862037
20000.0,16000.0,decrease,0.068686865,0.0
200000.0,160000.0,decrease,0.15151516,-785.176393636465
260000.0,208000.0,decrease,0.1407767,-790.4178257632254
630000.0,504000.0,decrease,0.045454547,-88.26910077393052
70000.0,56000.0,decrease,0.43209878,-13398.518877029419
250000.0,200000.0,decrease,0.045454547,-515.541875798106
50000.0,40000.0,decrease,0.33639145,-7273.394775390625
20000.0,16000.0,decrease,0.5,-4305.280000000001
320000.0,256000.0,decrease,0.11968085,-13122.370521895882
360000.0,288000.0,decrease,0.43209878,0.0
180000.0,144000.0,decrease,0.33639145,0.0
130000.0,104000.0,decrease,0.056886226,-542.0651127362252
120000.0,96000.0,decrease,0.33639145,-57.45981872558593
70000.0,56000.0,decrease,0.8,-18900.02029387712
450000.0,360000.0,decrease,0.12701252,-309.81580954551697
90000.0,72000.0,decrease,0.1,-189.7600042414665
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
60000.0,48000.0,decrease,0.12701252,6.126618875265121
50000.0,40000.0,decrease,0.07954545,-625.0004362243415
50000.0,40000.0,decrease,0.15151516,-46.090910851955414
50000.0,40000.0,decrease,0.11968085,-794.1726654064655
230000.0,184000.0,decrease,0.1,-665.8400148826836
50000.0,40000.0,decrease,0.5691057,-9810.420372452734
100000.0,80000.0,decrease,0.1,-3200.0000715255737
500000.0,400000.0,decrease,0.056886226,-154.44573797106742
500000.0,400000.0,decrease,0.1,-548.3600122568012
160000.0,128000.0,decrease,0.1,-1210.6000270590184
280000.0,224000.0,decrease,0.11968085,-9662.4427305305
60000.0,48000.0,decrease,0.14619882,-1019.4462583315374
50000.0,40000.0,decrease,0.33639145,0.0
280000.0,224000.0,decrease,0.15151516,-35.312728621959685
360000.0,288000.0,decrease,0.1,-8746.720195504426
70000.0,56000.0,decrease,0.1,-2240.0000500679016
10000.0,8000.0,decrease,0.29268292,-292.0794999158382
140000.0,112000.0,decrease,0.056886226,-840.894792957306
40000.0,32000.0,decrease,0.2434457,-2386.077995274067
210000.0,168000.0,decrease,0.29268292,0.0
20000.0,16000.0,decrease,0.33639145,-2550.779547729492
150000.0,120000.0,decrease,0.12701252,-250.8541288101673
380000.0,304000.0,decrease,0.045454547,-162.91638184368605
20000.0,16000.0,decrease,0.1407767,-1031.4562606811523
70000.0,56000.0,decrease,0.5,-10371.76
100000.0,80000.0,decrease,0.1,-2462.3600550380343
310000.0,248000.0,decrease,0.06666667,-269.30002809017896
180000.0,144000.0,decrease,0.2434457,-5219.443184885979
150000.0,120000.0,decrease,0.6,-15716.160661239624
500000.0,400000.0,decrease,0.12701252,-107.07531153559685
180000.0,144000.0,decrease,0.068686865,-347.58178458988664
180000.0,144000.0,decrease,0.12701252,-8093.881816864014
200000.0,160000.0,decrease,0.38709676,-336.853537402153
400000.0,320000.0,decrease,0.1407767,-20629.125213623047
500000.0,400000.0,decrease,0.068686865,-484.65449861526486
70000.0,56000.0,decrease,0.18817204,-5202.580623626709
50000.0,40000.0,decrease,0.9361702,-13535.51117790699
50000.0,40000.0,decrease,0.18817204,-2667.9948276662826
130000.0,104000.0,decrease,0.2585034,-13.375102390050888
200000.0,160000.0,decrease,0.38709676,-32373.386686224938
10000.0,8000.0,decrease,0.8,-964.6200149989127
210000.0,168000.0,decrease,0.2585034,-40.53061330318451
130000.0,104000.0,decrease,0.14619882,12.866665941476821
20000.0,16000.0,decrease,0.1407767,-1031.4562606811523
80000.0,64000.0,decrease,0.2585034,-105.37959458827973
320000.0,256000.0,decrease,0.78571427,-26303.387976059912
200000.0,160000.0,decrease,0.1407767,-585.0935638713837
290000.0,232000.0,decrease,0.27272728,0.0
340000.0,272000.0,decrease,0.056886226,-43.07352999687195
20000.0,16000.0,decrease,0.38709676,-3103.0005439710617
50000.0,40000.0,decrease,0.15151516,-2836.363744735718
300000.0,240000.0,decrease,0.15789473,-21.748419957160948
30000.0,24000.0,decrease,0.2434457,-3025.6180000305176
240000.0,192000.0,decrease,0.3768116,0.0
470000.0,376000.0,decrease,0.056886226,-2335.3258287739754
360000.0,288000.0,decrease,0.045454547,-170.26183721005907
60000.0,48000.0,decrease,0.12701252,-1479.6065621328353
400000.0,320000.0,decrease,0.1,-5263.800117655099
50000.0,40000.0,decrease,0.14619882,-2708.771777153015
160000.0,128000.0,decrease,0.068686865,-2715.151252746582
360000.0,288000.0,decrease,0.43209878,-93.31111360788346
160000.0,128000.0,decrease,0.11968085,-198.21936315774917
130000.0,104000.0,decrease,0.045454547,-591.3673388177156
20000.0,16000.0,decrease,0.78571427,-3874.611340870857
200000.0,160000.0,decrease,0.78571427,-62378.398588085176
280000.0,224000.0,decrease,0.12701252,-422.9053249311447
